x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20
475.0,-53.01027102639186,-48.01027102639186,-43.01027102639187,-38.01027102639187,-33.01027102639188,-28.01027102639188,-23.01027102639188,-18.01027102639188,-13.01027102639188,-8.010271026391882,-3.0102710263918837,1.9897289736081154,6.989728973608114,11.989728973608113,16.989728973608113,21.98972897360811,26.989728973608116,31.98972897360812,36.98972897360812,41.98972897360812
500.0,-54.66963153867074,-49.66963153867075,-44.66963153867075,-39.66963153867076,-34.669631538670764,-29.669631538670767,-24.669631538670767,-19.669631538670767,-14.66963153867077,-9.66963153867077,-4.669631538670769,0.3303684613292299,5.330368461329229,10.330368461329229,15.330368461329229,20.33036846132923,25.330368461329225,30.330368461329225,35.33036846132923,40.33036846132923
525.0,-56.36686806990777,-51.36686806990775,-46.36686806990775,-41.36686806990775,-36.36686806990774,-31.36686806990774,-26.36686806990774,-21.36686806990774,-16.36686806990774,-11.366868069907738,-6.3668680699077385,-1.3668680699077385,3.6331319300922615,8.633131930092262,13.633131930092262,18.63313193009226,23.633131930092258,28.633131930092254,33.63313193009225,38.63313193009225
550.0,-58.10252007396098,-53.102520073960974,-48.102520073960974,-43.10252007396097,-38.10252007396096,-33.10252007396096,-28.102520073960957,-23.102520073960957,-18.102520073960957,-13.102520073960957,-8.102520073960955,-3.102520073960953,1.8974799260390487,6.89747992603905,11.89747992603905,16.89747992603905,21.89747992603905,26.897479926039047,31.89747992603905,36.897479926039054
575.0,-59.87712404514467,-54.87712404514467,-49.87712404514466,-44.87712404514466,-39.87712404514466,-34.877124045144654,-29.877124045144654,-24.877124045144647,-19.877124045144647,-14.877124045144647,-9.877124045144647,-4.877124045144649,0.1228759548553473,5.1228759548553455,10.122875954855342,15.12287595485534,20.12287595485534,25.12287595485534,30.12287595485534,35.12287595485534
600.0,-61.69121309453974,-56.69121309453975,-51.691213094539755,-46.691213094539755,-41.69121309453976,-36.69121309453977,-31.691213094539773,-26.691213094539773,-21.691213094539773,-16.691213094539773,-11.691213094539775,-6.6912130945397745,-1.6912130945397754,3.308786905460224,8.308786905460224,13.308786905460224,18.308786905460224,23.308786905460224,28.308786905460224,33.308786905460224
625.0,-63.54531651703542,-58.545316517035424,-53.545316517035424,-48.54531651703543,-43.54531651703543,-38.54531651703543,-33.54531651703544,-28.545316517035435,-23.54531651703543,-18.545316517035427,-13.545316517035427,-8.545316517035426,-3.5453165170354253,1.4546834829645738,6.454683482964571,11.454683482964569,16.454683482964565,21.454683482964565,26.454683482964565,31.454683482964565
650.0,-65.43995934925333,-60.439959349253336,-55.439959349253336,-50.439959349253336,-45.43995934925333,-40.43995934925333,-35.43995934925333,-30.439959349253332,-25.43995934925333,-20.43995934925333,-15.439959349253332,-10.43995934925333,-5.439959349253332,-0.4399593492533329,4.560040650746665,9.560040650746664,14.560040650746664,19.560040650746664,24.560040650746664,29.560040650746664
675.0,-67.37566191851896,-62.37566191851896,-57.37566191851896,-52.37566191851895,-47.37566191851895,-42.37566191851895,-37.375661918518944,-32.375661918518944,-27.375661918518944,-22.375661918518936,-17.375661918518936,-12.375661918518936,-7.375661918518938,-2.37566191851894,2.6243380814810564,7.624338081481055,12.624338081481051,17.62433808148105,22.62433808148105,27.62433808148105
700.0,-69.35293938306056,-64.35293938306056,-59.35293938306056,-54.35293938306056,-49.35293938306055,-44.352939383060544,-39.35293938306054,-34.35293938306054,-29.352939383060534,-24.352939383060534,-19.352939383060534,-14.352939383060534,-9.352939383060535,-4.352939383060535,0.6470606169394659,5.647060616939466,10.647060616939466,15.647060616939466,20.647060616939466,25.647060616939466
725.0,-71.37230126362934,-66.37230126362932,-61.37230126362933,-56.372301263629325,-51.372301263629325,-46.37230126362932,-41.37230126362932,-36.37230126362931,-31.372301263629307,-26.37230126362931,-21.372301263629307,-16.372301263629307,-11.372301263629309,-6.372301263629307,-1.3723012636293062,3.6276987363706947,8.627698736370697,13.627698736370697,18.627698736370697,23.627698736370697
750.0,-73.43425096675107,-68.43425096675107,-63.434250966751065,-58.43425096675107,-53.43425096675107,-48.43425096675107,-43.43425096675108,-38.43425096675108,-33.43425096675108,-28.43425096675108,-23.434250966751087,-18.434250966751087,-13.434250966751087,-8.434250966751087,-3.4342509667510885,1.5657490332489132,6.565749033248915,11.565749033248917,16.56574903324892,21.56574903324892
775.0,-75.5392852998327,-70.53928529983271,-65.53928529983271,-60.539285299832706,-55.53928529983271,-50.53928529983271,-45.53928529983272,-40.53928529983272,-35.53928529983273,-30.53928529983273,-25.53928529983273,-20.53928529983273,-15.53928529983273,-10.53928529983273,-5.539285299832731,-0.5392852998327315,4.460714700167267,9.460714700167266,14.460714700167266,19.460714700167266
800.0,-77.68789397836392,-72.68789397836392,-67.6878939783639,-62.687893978363896,-57.6878939783639,-52.6878939783639,-47.68789397836391,-42.68789397836391,-37.68789397836392,-32.68789397836392,-27.687893978363917,-22.687893978363917,-17.687893978363917,-12.687893978363917,-7.687893978363917,-2.6878939783639177,2.3121060216360814,7.3121060216360805,12.31210602163608,17.31210602163608
825.0,-79.880559125468,-74.880559125468,-69.880559125468,-64.880559125468,-59.880559125468004,-54.880559125468004,-49.880559125468004,-44.88055912546801,-39.88055912546801,-34.88055912546801,-29.88055912546801,-24.880559125468018,-19.880559125468018,-14.880559125468018,-9.880559125468018,-4.880559125468018,0.11944087453198193,5.119440874531982,10.119440874531982,15.119440874531982
